CPU,RAM
13.1,64.0
6.3,63.9
9.7,64.1
9.4,64.2
10.2,64.1
9.7,64.1
10.6,64.0
9.8,64.1
11.9,64.1
12.2,64.1
9.6,64.1
10.2,64.1
9.6,64.1
9.6,64.1
14.5,64.1
18.3,64.1
16.9,64.1
21.4,64.1
19.7,64.1
16.8,64.1
20.3,64.0
21.1,63.9
16.1,64.0
18.9,64.0
20.5,63.9
17.9,64.0
24.2,63.9
16.0,63.9
16.6,63.9
10.4,63.9
10.6,63.9
10.9,64.0
9.3,64.0
9.6,64.0
9.7,64.0
14.3,64.0
16.9,64.1
16.4,64.0
16.3,64.1
14.2,64.1
10.3,64.1
9.6,64.1
9.7,64.0
9.3,64.1
9.3,64.0
9.8,64.0
10.8,64.0
9.2,64.0
10.0,64.1
10.2,64.1
10.1,64.2
9.6,64.2
9.5,64.2
9.7,64.2
9.8,64.1
9.5,64.1
10.3,64.1
9.5,64.1
9.9,64.1
9.4,64.1
10.4,64.0
9.8,64.0
9.1,64.0
5.5,64.0
6.7,64.0
8.3,64.0
